Label,# Samples,Average,Median,90% Line,95% Line,99% Line,Min,Max,Error %,Throughput,Received KB/sec,Sent KB/sec
GET /,200,499,6,57,4907,5022,3,5056,0.000%,3.68161,35.95,1.82
POST /Member/DoLogin,200,17,10,22,81,133,7,141,0.000%,4.06818,1.70,1.22
POST /Member/AcceptAgreement ,200,12,9,15,32,83,7,89,0.000%,4.08722,1.06,1.30
POST /Bet/DoBet PC蛋蛋特碼,855,41,2,3,4,1387,0,4599,100.000%,2.09320,0.80,3.56
POST /Bet/DoBet 北京前五,759,72,11,14,17,3003,0,6814,15.547%,1.85843,1.08,1.49
POST /Bet/DoBet 北京前十,731,74,11,15,17,2635,0,6831,10.944%,1.78970,1.05,1.45
POST /Bet/DoBet 广东正码,895,65,12,15,17,3004,1,4726,19.218%,2.19344,1.24,1.82
POST /Bet/DoBet 北京双面,779,69,11,15,17,3003,0,6865,12.837%,1.91462,1.10,1.52
POST /Bet/DoBet 幸运正码,865,97,12,15,17,3006,0,6968,15.838%,2.11776,1.20,1.69
POST /Bet/DoBet 英國快樂双面,894,88,11,15,17,3573,0,6725,14.989%,2.19051,1.26,1.79
POST /Bet/DoBet 極速時時75球五,1426,68,12,16,19,3003,0,6859,15.778%,3.49070,2.04,2.81
POST /Bet/DoBet 广东后四,886,78,12,15,18,3004,0,5638,15.801%,2.16976,1.26,1.73
POST /Bet/DoBet 極速時時75双面,1457,64,11,14,16,3004,0,6719,17.227%,3.56749,2.03,2.89
POST /Bet/DoBet 重庆整合,1116,78,11,16,19,3006,0,5281,13.799%,2.73299,1.59,2.24
POST /Bet/DoBet 幸运双面,881,67,11,15,17,3004,0,4604,16.686%,2.15704,1.23,1.74
POST /Bet/DoBet 英國快樂后四,870,42,11,15,16,1257,0,3297,14.253%,2.13047,1.24,1.71
POST /Bet/DoBet 重庆番攤-番,214,47,12,16,17,156,1,5028,8.879%,.52429,0.31,0.44
POST /Bet/DoBet 英國賽車前十,896,67,11,14,16,3004,0,6871,12.277%,2.19422,1.29,1.79
POST /Bet/DoBet 幸运连码,885,63,13,16,17,3003,0,4323,12.316%,2.16706,1.33,2.32
POST /Bet/DoBet 广东连码,894,102,14,17,19,3722,0,6739,12.528%,2.18910,1.44,3.06
POST /Bet/DoBet 北京番攤-番,175,92,11,16,17,3574,0,4766,9.143%,.43418,0.26,0.37
POST /Bet/DoBet 極速時時75整合,1541,72,11,16,19,3004,0,6831,14.601%,3.77844,2.19,3.11
POST /Bet/DoBet 極速賽車75双面,891,82,11,14,17,3005,0,6862,13.019%,2.18534,1.27,1.73
POST /Bet/DoBet 英國時時双面,1475,54,11,14,16,2341,0,6857,18.034%,3.61798,2.06,2.92
POST /Bet/DoBet 重庆双面,1120,74,11,14,16,3004,0,6809,17.589%,2.74827,1.56,2.20
POST /Bet/DoBet 幸運飛艇后五,899,48,10,14,15,2535,0,4969,13.793%,2.20473,1.30,1.77
POST /Bet/DoBet 广东前四,888,57,12,15,17,3004,0,5059,12.613%,2.17808,1.27,1.72
POST /Bet/DoBet 極速賽車75后五,970,77,10,14,16,3006,0,5059,13.608%,2.37950,1.39,1.90
POST /Bet/DoBet 幸運飛艇双面,953,77,11,14,17,3005,0,4841,14.271%,2.33746,1.36,1.85
POST /Bet/DoBet 广东双面,898,91,12,16,20,3004,0,6861,12.695%,2.20264,1.27,1.80
POST /Bet/DoBet 幸運飛艇冠亚,906,64,10,14,16,3003,0,5103,17.881%,2.23533,1.31,1.80
POST /Bet/DoBet 幸运前四,927,70,12,15,17,3005,0,5406,20.604%,2.27810,1.28,1.87
POST /Bet/DoBet 極速賽車75前十,898,60,10,14,17,3004,0,5355,13.586%,2.20869,1.31,1.79
POST /Bet/DoBet 北京冠亚,725,41,11,15,16,1496,0,3575,19.448%,1.78244,1.01,1.43
POST /Bet/DoBet 幸運飛艇前十,925,55,11,14,17,3003,0,3763,11.892%,2.27397,1.34,1.88
POST /Bet/DoBet 北京后五,741,80,11,14,16,3003,0,6833,14.710%,1.82352,1.05,1.46
POST /Bet/DoBet 英國時時整合,1495,71,11,16,19,3004,0,5380,15.251%,3.67493,2.14,3.01
POST /Bet/DoBet 幸運飛艇前五,897,63,10,14,16,3004,0,5256,16.388%,2.20767,1.28,1.79
POST /Bet/DoBet 英國快樂前四,876,59,11,15,17,2312,0,5055,14.269%,2.15748,1.25,1.71
POST /Bet/DoBet 重庆球五,1113,67,11,16,18,3004,0,5340,16.352%,2.73993,1.58,2.18
POST /Bet/DoBet 極速賽車75前五,889,58,10,14,16,3004,0,5332,12.711%,2.18991,1.28,1.75
POST /Bet/DoBet 極速賽車75冠亚,879,57,10,14,16,3004,0,7050,19.681%,2.16831,1.23,1.74
POST /Bet/DoBet PC蛋蛋大小,897,73,2,3,4,3013,0,5368,100.000%,2.21482,0.84,1.69
POST /Bet/DoBet 英國時時球五,1515,104,11,16,20,3007,0,7413,17.492%,3.73788,2.15,3.00
POST /Bet/DoBet 幸运后四,897,64,12,15,17,3004,0,4411,16.388%,2.21329,1.26,1.77
POST /Bet/DoBet 英國賽車双面,923,65,11,15,16,3005,0,3926,15.493%,2.27990,1.31,1.81
POST /Bet/DoBet 英國快樂正码,935,82,11,15,17,3007,0,5309,17.861%,2.31027,1.32,1.90
